Techs,Count
"[""android"", ""elt"", ""ios"", ""qcat"", ""qpst"", ""qxdm"", ""windows""]",2
"[""android"", ""git"", ""ios"", ""javascript"", ""jenkins"", ""python"", ""web""]",2
"[""android"", ""ios"", ""react""]",2
"[""angular"", ""angularjs"", ""aws"", ""git"", ""harness"", ""javascript"", ""jenkins"", ""nosql"", ""python"", ""reactjs"", ""sql"", ""vuejs""]",2
"[""angular"", ""argo"", ""docker"", ""gitops"", ""javascript"", ""jenkins"", ""jira"", ""kubernetes"", ""maven"", ""nextjs"", ""nodejs"", ""reactjs"", ""typescript""]",2
"[""angular"", ""css"", ""html"", ""java"", ""java script"", ""spring boot""]",2
"[""angular"", ""dockers"", ""easymock"", ""ibm ilog/odm"", ""java"", ""junit"", ""kubernetes"", ""mockito"", ""oracle"", ""pivotal gemfire grid"", ""spring"", ""sql""]",2
"[""angularjs"", ""apache nifi"", ""asp.net"", ""css"", ""git"", ""html"", ""javascript"", ""powerbi"", ""python"", ""react"", ""sql"", ""t-sql"", ""tableau""]",2
"[""angularjs"", ""aws"", ""bitbucket"", ""git"", ""github"", ""j2ee"", ""java"", ""jquery"", ""linux"", ""ms sql"", ""oracle"", ""shell scripting"", ""springboot"", ""swagger"", ""udb"", ""unix"", ""windows os""]",2
"[""ansible"", ""aws"", ""azure"", ""cisco ios"", ""python""]",2
"[""ansible"", ""azure cloud"", ""azure devops pipelines"", ""docker"", ""git"", ""gitops"", ""informatica"", ""mainframe ims connect"", ""openshift"", ""packer"", ""redhat enterprise linux"", ""terraform"", ""unix solaris"", ""weblogic"", ""websphere""]",2
"[""apache hbase"", ""golang"", ""java"", ""nosql"", ""python"", ""sql""]",2
"[""apache kafka"", ""aws"", ""azure"", ""docker"", ""elasticsearch"", ""gcp"", ""grafana"", ""java"", ""kotlin"", ""kubernetes"", ""prometheus"", ""redis""]",2
"[""api"", ""docker"", ""gcp"", ""javascript"", ""kubernetes"", ""saas"", ""typescript""]",2
"[""argo"", ""cassandra"", ""chef"", ""docker"", ""ftl"", ""gce"", ""gcp"", ""git"", ""gke"", ""java"", ""jenkins"", ""kafka"", ""karaf"", ""kubernetes"", ""mongo"", ""oracle"", ""osgi"", ""puppet"", ""spring"", ""sql""]",2
"[""asp.net"", ""c#"", ""javascript"", ""mvc""]",2
"[""assembly"", ""c"", ""c++"", ""can"", ""lin"", ""xcp""]",2
"[""autocad civil 3d""]",2
"[""aws"", ""azure"", ""c++"", ""gcp"", ""java"", ""maven"", ""react"", ""springboot"", ""sql""]",2
"[""aws"", ""azure"", ""gcp""]",2
"[""aws"", ""c++"", ""confluence"", ""docker"", ""eclipse"", ""java"", ""jenkins"", ""jira"", ""junit"", ""kafka"", ""kubernetes"", ""python"", ""spring boot""]",2
"[""aws"", ""docker"", ""github actions"", ""linux"", ""terraform"", ""unix""]",2
"[""aws"", ""kotlin"", ""reactjs""]",2
"[""aws""]",2
"[""azure"", ""git"", ""javascript"", ""microservices"", ""nodejs"", ""open api"", ""react"", ""rest api""]",2
"[""bacnet"", ""c"", ""c++"", ""iot"", ""linux"", ""modbus"", ""mqtt"", ""opc"", ""tcp/ip"", ""vxworks""]",2
"[""bash"", ""docker"", ""git"", ""kubernetes"", ""linux"", ""mongodb"", ""python"", ""react"", ""sql""]",2
"[""c"", ""c#"", ""c++"", ""fpga"", ""vhdl""]",2
"[""c"", ""c#"", ""c++"", ""ip"", ""java"", ""python"", ""tcp"", ""udp""]",2
"[""c"", ""c++"", ""cuda"", ""go"", ""java"", ""python""]",2
"[""c"", ""c++""]",2
"[""c"", ""django"", ""flask"", ""go"", ""java"", ""mongodb"", ""node"", ""postgres"", ""python"", ""ruby""]",2
"[""c"", ""html"", ""lego ev3"", ""lego wedo"", ""scratch"", ""tinkercad""]",2
"[""c#"", ""c++"", ""html"", ""javascript"", ""python"", ""sql"", ""swift""]",2
"[""c#"", ""c++"", ""python"", ""unreal""]",2
"[""c#"", ""html"", ""iis"", ""javascript"", ""power bi"", ""salesforce"", ""sql"", ""t-sql"", ""windows""]",2
"[""c#"", ""javascript"", ""python"", ""sql""]",2
"[""c++"", ""java"", ""javascript"", ""ruby""]",2
"[""c++"", ""java""]",2
"[""c++"", ""linux"", ""unix""]",2
"[""c++"", ""mysql"", ""redis"", ""sql"", ""tcp/ip"", ""udp""]",2
"[""c++"", ""tcp/ip"", ""unity3d""]",2
"[""c++"", ""unreal engine""]",2
"[""cad"", ""cae"", ""culvertmaster"", ""flowmaster"", ""hec-18"", ""hec-ras"", ""hy-8"", ""open roads designer"", ""pcswmm"", ""pondpack"", ""rma-2"", ""srh-2d"", ""xpswmm""]",2
"[""cad"", ""laser technology"", ""programming"", ""software""]",2
"[""cad""]",2
"[""cloud""]",2
"[""cn""]",2
"[""design patterns""]",2
"[""django"", ""postgres"", ""python"", ""react"", ""redis""]",2
"[""github"", ""javascript"", ""react"", ""ruby on rails""]",2
"[""go"", ""ruby""]",2
"[""hmi"", ""plc"", ""profinet"", ""rockwell"", ""rs-232"", ""siemens""]",2
"[""hmi"", ""plc""]",2
"[""java"", ""javascript"", ""kotlin"", ""node"", ""react"", ""spring""]",2
"[""java"", ""spring framework"", ""sql""]",2
"[""jira""]",2
"[""kubernetes""]",2
"[""labview"", ""matlab simulink"", ""matplotlib"", ""python"", ""vector canoe"", ""vspy3""]",2
"[""linux""]",2
"[""maximo""]",2
"[""microstation""]",2
"[""nosql""]",2
"[""numroto""]",2
"[""postgresql"", ""rails"", ""react"", ""typescript""]",2
"[""saa""]",2
"[""salesforce""]",2
"[""sas/base"", ""sas/graph"", ""sas/macro"", ""sas/sql"", ""sas/stat""]",2
"[""solidwork""]",2
"[""solidworks""]",2
"[""sql""]",2
"["" .ne"", "" angular"", "" c#"", "" cms"", "" css"", "" git"", "" javascript"", "" react"", "" rest"", "" typescript"", ""html""]",1
"["" .net 6"", "" aws"", "" azure"", "" docker"", "" grpc"", "" kafka"", "" kubernetes"", "" linux"", "" mongodb"", "".net core""]",1
"["" .net core"", "" .net framework"", "" ado.net"", "" asp.net mvc"", "" aws"", "" c#"", "" entity framework"", "" git"", "" jira"", "" postgressql"", "" sql"", "".net""]",1
"["" .net core"", "" .net framework"", "" angular"", "" azure"", "" azure devops"", "" azure service bus"", "" c#"", "" graphql"", "" infor m3"", "" ngrx"", "" power automate"", "" power bi"", "" rabbitmq"", "" rest"", "" retool"", "" sharepoint"", "" sql"", "" sql server"", "".net""]",1
"["" .net core"", "" ado.net"", "" angular"", "" api"", "" apis"", "" azure devops"", "" azure pipelines"", "" c#"", "" ci/cd"", "" devops"", "" devsecops"", "" docker"", "" entity framework"", "" git"", "" json"", "" k8s"", "" linq"", "" microsoft sql server"", "" next.js"", "" npm"", "" postman"", "" powershell"", "" pwas"", "" react"", "" reactjs"", "" regex"", "" restful"", "" soap"", "" sql"", "" swagger"", "" transact sql"", "" vsc"", "" wsdl"", "" xml"", "" xsd"", "".net""]",1
"["" .net core"", "" agil"", "" ai"", "" c#"", "" firebase"", "" grpc"", "" jasmine"", "" jest"", "" kanban"", "" nunit"", "" oauth2"", "" oidc"", "" openapi spec"", "" rest apis"", "" scrum"", "" sockets"", "" xunit"", ""python""]",1
"["" .net core"", "" agile"", "" api gateway"", "" aws"", "" aws cdk"", "" aws s3"", "" docker"", "" dynamodb"", "" ecr"", "" ecs"", "" fargate"", "" lambda"", "" sql"", "" windows server"", "".net""]",1
"["" .net core"", "" airflow luigi"", "" apache nifi"", "" argo"", "" asp.net mvc"", "" aws"", "" c#"", "" gcp"", "" go"", "" graphql"", "" hadoop"", "" hive"", "" informatica"", "" java"", "" javascript"", "" kubernetes"", "" looker"", "" microsoft sql serve"", "" node.js"", "" pandas"", "" python"", "" react"", "" restful api"", "" ruby on rails"", "" scala"", "" spark"", "" talend"", ""ruby""]",1
"["" .net core"", "" angular material"", "" angularjs"", "" c#"", "" docker"", "" entity framework core"", "" html5"", "" javascript"", "" mongodb"", "" typescript"", "" visual studio"", "".net""]",1
"["" .net core"", "" angular.js"", "" css3"", "" docker"", "" hash"", "" html5"", "" java"", "" java/sprint framework"", "" js/node.js"", "" json"", "" json web signatures (jws)"", "" json web tokens (jwt)"", "" json-ld"", "" kubernetes"", "" next.js"", "" node.js"", "" oath2"", "" open id connect (oidc)"", "" pki"", "" python"", "" python/django"", "" react"", "" react.js"", "" rest apis"", "" rsa"", "" security assertion markup language (saml)"", "" sha/sha2"", "" shell scripts"", "" soap"", "" transport layer security (tls)"", "" typescript"", "" vue"", ""javascript""]",1
"["" .net core"", "" angular"", "" asp.net"", "" azur"", "" c#"", "" gcp"", "" github"", "" html"", "" javascript"", "" jquery"", "" json"", "" mvc"", "" pl-sql"", "" react"", "" ssis"", "" ssrs"", "" t-sql"", "" tfs"", "" web forms"", "" xml"", ""vue.js""]",1
"["" .net core"", "" angular"", "" asp.net"", "" azure devops"", "" c#"", "" css3"", "" flutter"", "" git"", "" html5"", "" javascript"", "" jenkins"", "" mvc"", "" nosql"", "" react"", "" react native"", "" sql"", "" xamarin"", "".net""]",1
"["" .net core"", "" angular"", "" azure"", "" bootstrap"", "" c#"", "" css"", "" entity framework"", "" gis"", "" google maps"", "" javascript"", "" less"", "" linq"", "" mapbox"", "" openstreetmap"", "" react"", "" sass"", "" sql"", "".net""]",1
"["" .net core"", "" angular"", "" c#"", "" html"", "" web api"", "".net""]",1
"["" .net core"", "" angular"", "" github"", "" kanban"", "" scrum"", "" sql server"", "".net""]",1
"["" .net core"", "" angularjs"", "" asp.net"", "" aureliajs"", "" c#"", "" html"", "" javascript"", "" jquery"", "" json"", "" mvc"", "" mvp"", "" rest apis"", "" sql server"", "" wcf"", "".net""]",1
"["" .net core"", "" angularjs"", "" azure"", "" azure devops"", "" html/css"", "" javascript"", "" jir"", "" react"", "" sql"", "" sql management studio"", "" sql server profiler"", "" typescript"", "" visual studio"", ""c#""]",1
"["" .net core"", "" asp mvc5"", "" azure b2"", "" c#"", "" entity framework"", "" html"", "" javascript"", "" jquery"", "" json"", "" ms sql"", "" mysql"", "" powershell"", "" rest"", "" tfs"", "" typescript"", "" visual basic"", "" xml"", "".net""]",1
"["" .net core"", "" asp.net"", "" aws"", "" azure"", "" clickup"", "" css"", "" git"", "" google cloud"", "" html"", "" javascript"", "" jira"", "" monday.com"", "" ms projects"", "" ms sql"", "" restful apis"", "" slack"", "" tempo timesheets"", "" trello"", "" zapier"", ""c#""]",1
"["" .net core"", "" asp.net"", "" bitbucket"", "" blazor"", "" c#"", "" css"", "" docker"", "" git"", "" github"", "" html"", "" javascript"", "" jquery"", "" mariadb"", "" mssql"", "" mvc"", "" mysql"", "" vue js"", "" web api"", "".net""]",1
"["" .net core"", "" asp.net"", "" blazor"", "" docker"", "" http"", "" hyperv"", "" kubernetes"", "" linux"", "" mysql"", "" rabbitmq"", "" rest apis"", "" snmp"", "" tcp"", "" webassembly"", "" websockets"", ""c#""]",1
"["" .net core"", "" asp.net"", "" c#"", "" css"", "" html 5"", "" javascript"", "" microsoft sql server"", "" mysql"", "".net""]",1
"["" .net core"", "" asp"", "" aws"", "" core mvc"", "" git"", "" graphql"", "" mssql"", "" nodejs"", "" postgresql"", "" restful"", "".net""]",1
"["" .net core"", "" aws"", "" azure"", "" c#"", "" google cloud"", "" rest apis"", "" wcf"", "" winforms"", "".net framework""]",1
"["" .net core"", "" azure"", "" c#"", "" docker"", "" gitlab"", "" google cloud"", "" javascript"", "" kanban"", "" kubernetes"", "" octopus"", "" react"", "" scrum"", "" sql"", ""ai""]",1
"["" .net core"", "" azure"", "" c#"", "" git"", "" ms sql server"", "" rabbitmq"", "" t-sql"", ""angular""]",1
"["" .net core"", "" c#"", "" d365"", "" dynamics f&o"", "" microsoft azure"", "" microsoft azure devops"", "" microsoft dynamics ax"", "" microsoft stack"", "" office 365"", "" outlook"", "" power bi"", "" sharepoint"", "" ssis"", "" ssrs"", ""microsoft dynamics 365""]",1
"["" .net core"", "".net"", "".net core"", ""agile methodology"", ""angular 13"", ""angular 13"", ""asp.net"", ""c#"", ""jenkins"", ""jira"", ""octopus"", ""oracle"", ""sql"", ""sql server"", ""veracode""]",1
"["" .net framework"", "" agile"", "" azure devops"", "" nunit"", "" postman"", "" selenium"", "" specflow"", "" xp"", ""c#""]",1
"["" .net framework"", "" angular"", "" angularjs"", "" aws"", "" c#"", "" css"", "" dynamodb"", "" git"", "" html"", "" javascript"", "" jest"", "" microsoft sql"", "" nosql"", "" sql"", "" typescript"", "" xuni"", "".net core""]",1
"["" .net framework"", "" angular"", "" asp.net"", "" c#"", "" css3"", "" entity framework"", "" git"", "" html5"", "" javascript"", "" linq"", "" maui"", "" restful apis"", "" typescript"", "" winforms"", "".net""]",1
"["" .net framework"", "" angular"", "" css"", "" es6"", "" firebase"", "" git"", "" google cloud platform"", "" html"", "" isml"", "" javascript"", "" jquery"", "" mongodb"", "" node.js"", "" nosql"", "" ocapi"", "" postgres"", "" pwa ki"", "" react"", "" react native"", "" restful apis"", "" sass"", "" scapi"", "" scss"", "" sfra"", "" slas"", "" sql"", "" typescript"", "" vue.js"", ""salesforce commerce cloud""]",1
"["" .net framework"", "" angular"", "" flutter"", "" git"", "" jwt"", "" microsoft access"", "" ms sql"", "" mysql"", "" node.js"", "" oauth"", "" postgresql"", "" python"", "" react"", "" react native"", "" restful apis"", "" vba"", "" vue.js"", ""visual basic""]",1
"["" .net framework"", "" apis"", "" css"", "" javascript"", "" jquery"", "" json"", "" php"", "" sql"", "" telehealth"", "" umbraco"", "" ux/ui"", "" wordpress"", ""html""]",1
"["" .net framework"", "" asp.net"", "" c#"", "" mvc"", "" oracle"", ""teams""]",1
"["" .net frameworks"", "" .net web api"", "" aks"", "" app services"", "" arm templates"", "" autofac"", "" azure api gateway"", "" azure apim"", "" azure cosmos"", "" azure devop"", "" azure event hub"", "" azure fabrics"", "" azure functions"", "" azure platform"", "" azure redis"", "" azure service bus"", "" azure sql"", "" azure storage"", "" event grids"", "" fluent validation"", "" forgerock"", "" jwt token"", "" moq"", "" nsubstitute"", "" nuget"", "" nunit"", "" oauth"", "" okta"", "" ping identity"", "" saml"", "" xunit"", "".net""]",1
"["" .net mvc framework"", "" agile execution"", "" asp.net"", "" c#"", "" information technologie"", "" rest services"", "" sql server"", "" vc++"", "" wcf framework"", "" web api"", "" web services"", "".net framework""]",1
"["" .net mvc"", "" adf"", "" aws"", "" azure"", "" azure cosmos db"", "" azure devops"", "" azure pipelines"", "" c#"", "" css"", "" github actions"", "" gitlab runners"", "" html"", "" java"", "" jir"", "" mongodb"", "" mysql"", "" nodejs"", "" objective-c"", "" oracle"", "" power bi"", "" react"", "" sass"", "" sql"", "" sql server"", "" ssas"", "" ssis"", "" ssrs"", "" swift"", "" xamarin"", ""angularjs""]",1
"["" .net"", "" .net 5.0"", "" .net core"", "" .net standard"", "" c#"", "" c/c++"", "" mfc"", "" oracle"", "" owlnext"", "" postgres"", "" sql"", "" web apis"", "" win32"", ""c++""]",1
"["" .net"", "" .net core"", "" active directory"", "" ajax"", "" angular2+"", "" azure devops"", "" bootstrap"", "" css"", "" entraid"", "" html5"", "" identity server 4"", "" iis"", "" jquery"", "" json"", "" ncino"", "" power bi"", "" salesforce"", "" sql server"", "" ssis"", "" ssrs"", ""c#""]",1
"["" .net"", "" .net core"", "" apache"", "" apex"", "" asp.net webapi"", "" aura"", "" azure"", "" bootstrap"", "" cli"", "" entity framework"", "" flows"", "" git"", "" html5"", "" javascript"", "" lightning"", "" ms sql"", "" mvc"", "" mysql"", "" php"", "" restful api"", "" salesforce"", "" soap"", "" soql"", "" ssrs"", "" ui/ux"", "" wcf"", ""c#""]",1
"["" .net"", "" a"", "" aws"", "" azure"", "" c#"", "" sql server"", "" vb"", ""uipath""]",1
"["" .net"", "" ado"", "" angular"", "" aws"", "" azure"", "" c#"", "" css"", "" java"", "" javascript"", "" jira"", "" microsoft power apps"", "" node.js"", "" nosql"", "" power automat"", "" power bi"", "" python"", "" react"", "" sql"", ""html""]",1
"["" .net"", "" agile scrum"", "" angular"", "" c#"", "" c++"", "" cassandra"", "" docker"", "" gitlab"", "" go"", "" mongodb"", "" mysql"", "" postgresql"", "" ruby"", "" typescrip"", ""progress openedge""]",1
"["" .net"", "" agile"", "" azure"", "" azure ad"", "" azure blob storage"", "" azure devops"", "" azure functions"", "" azure logic apps"", "" azure service bus"", "" c#"", "" devops"", "" javascript"", "" microsoft 365"", "" microsoft dataverse"", "" outlook"", "" power automate"", "" power bi"", "" power pages"", "" power query"", "" power virtual agents"", "" powerapps formula language"", "" scrum"", "" sharepoint online"", "" sql server"", "" t-sql"", "" teams"", "" typescript"", ""power apps""]",1
"["" .net"", "" agile"", "" confluence"", "" d365"", "" epicor kinetic"", "" git"", "" iso 9001:2015"", "" jenkins"", "" jira"", "" scrum"", "" testcomplete"", ""c#""]",1
"["" .net"", "" ai"", "" android"", "" angular"", "" azure"", "" devops"", "" google cloud"", "" ios"", "" iot"", "" java"", "" javascript"", "" machine learning"", "" python"", "" react"", "" redux"", "" sql"", "" vue"", ""aws""]",1
"["" .net"", "" ai"", "" api gateway"", "" aws"", "" aws codepipeline"", "" azure"", "" c#"", "" cloudfront"", "" cloudwatch"", "" datado"", "" docker"", "" dynamodb"", "" ec2"", "" elastic stack"", "" git"", "" github actions"", "" jenkins"", "" kafka"", "" kubernetes"", "" lambda"", "" nosql"", "" rabbitmq"", "" rds"", "" s3"", "" sql"", "" terraform"", "" visual studio"", ""workday""]",1
"["" .net"", "" ai"", "" c#"", "" c++/cli"", "" j#"", "" jscript.ne"", "" visual basic.net"", ""artificial intelligence""]",1
"["" .net"", "" ajax"", "" angular"", "" asp.net"", "" aws"", "" c#"", "" css"", "" github"", "" html"", "" java"", "" javascript"", "" jenkins"", "" json"", "" kanban"", "" rally"", "" react"", "" sonarqube"", "" sql"", "" xml"", "" xs"", "" xslt"", ""scrum""]",1
"["" .net"", "" aks"", "" angular"", "" aws"", "" azure data lake"", "" azure devops"", "" blob storage"", "" c#"", "" cosmosdb"", "" data factory"", "" docker"", "" fabric"", "" github actions"", "" javascript"", "" kubernetes"", "" linux"", "" nextjs"", "" playwright"", "" postman"", "" python"", "" react"", "" redis"", "" selenium"", "" spark"", "" sq"", "" sql server"", "" ssas"", "" synapse"", "" typescript"", "" windows"", ""azure""]",1
"["" .net"", "" android"", "" azure build pipelines"", "" azure devops"", "" c#"", "" git"", "" ios"", "" macos"", "" mstest"", "" nunit"", "" ood"", "" restful apis"", "" windows"", "" xaml"", "" xunit"", "".net maui""]",1
"["" .net"", "" android"", "" bootstrap"", "" django"", "" django rest framework (drf)"", "" docker"", "" elixir"", "" io"", "" java"", "" javascript"", "" jquery"", "" jrf pip python"", "" model bakery"", "" node.js"", "" postgresql"", "" pytest"", "" react native"", "" react.js"", "" vanillajs"", "" vue.js"", ""python""]",1
"["" .net"", "" angular"", "" angularjs"", "" azure devops"", "" bootstrap"", "" css3"", "" git"", "" html5"", "" javascript"", "" jquery"", "" linux"", "" microsoft windows"", "" ms office"", "" ms project"", "" ms sharepoint"", "" ngrx"", "" oracle"", "" pl/sql"", "" rxjs"", "" typescript"", "" uni"", "" visio"", "" visual studio"", "" xml"", "" yaml"", ""c#""]",1
"["" .net"", "" angular"", "" angularjs"", "" azure devops"", "" bootstrap"", "" git"", "" linux"", "" lodash"", "" material"", "" ngrx"", "" oracle"", "" pl/sql"", "" rxjs"", "" typescript"", "" unix"", "" visual studio"", "" windows"", "" xml"", "" yaml"", ""c#""]",1
"["" .net"", "" angular"", "" apis"", "" asp.net core"", "" azure"", "" azure devops"", "" c#"", "" css3"", "" devops"", "" docker"", "" git"", "" html5"", "" javascript"", "" microservices"", "" mvc"", "" mvvm"", "" noops"", "" oracle"", "" razor"", "" react"", "" soa"", "" webservices"", ""blazor""]",1
"["" .net"", "" angular"", "" azure"", "" c#"", "" dapper"", "" entity framework"", "" react"", "" rest"", "" sql"", "" sql server"", "" vercel"", "" vue"", ""javascript""]",1
"["" .net"", "" angular"", "" charles river investment management solutio"", "" confluence"", "" git"", "" jira"", "" kanban"", "" microsoft azure"", "" powershell"", "" scrum"", "" sql"", "" typescript"", "" web apis"", "" web services"", ""c#""]",1
"["" .net"", "" ansible"", "" aws"", "" azure"", "" business objects"", "" c#/c++"", "" cassandra"", "" cassandra"", "" chef"", "" cloud foundry"", "" cognos"", "" cosmos"", "" docker"", "" git"", "" java"", "" json"", "" kotlin"", "" kubernetes"", "" linux"", "" mongodb"", "" mysql"", "" node/typescript"", "" objective c"", "" power bi"", "" puppet"", "" python"", "" react"", "" spark"", "" sql"", "" swift"", "" swiftui"", "" tableau"", "" terraform"", ""agile""]",1
"["" .net"", "" api gateway"", "" aws lambda"", "" c#"", "" docker"", "" git"", "" mssql"", "" mysql"", "" nosql"", "" python"", "" react"", "" sqs"", "" typescript"", ""node.js""]",1
"["" .net"", "" api"", "" aws"", "" google"", "" kafka"", "" mq"", "" nosql"", "" rdbms"", "" spring boot"", ""java""]",1
"["" .net"", "" api"", ""java""]",1
"["" .net"", "" api/rest"", "" aws"", "" azure"", "" docker"", "" google"", "" java/js"", "" kubernetes"", "" laravel/php"", "" linux"", "" microsoft power platform"", "" microsoft sql"", "" mongodb"", "" mysql"", "" nlp"", "" perl"", "" postgresql"", "" tableau"", "" windows"", ""c#""]",1
"["" .net"", "" asp.net mvc"", "" azure"", "" c#"", "" css"", "" dynamics"", "" entity framework"", "" html"", "" javascript"", "" microsoft 365"", "" microsoft teams"", "" office 365"", "" power apps"", "" power automate"", "" power bi"", "" sharepoint"", "" visual basic"", ""power platform""]",1
"["" .net"", "" asp.net"", "" aw"", "" azure"", "" html"", "" javascript"", "" restful apis"", "" sql"", ""c#""]",1
"["" .net"", "" asp.net"", "" azure dev ops"", "" css3"", "" docker"", "" ecmascript"", "" git"", "" html5"", "" javascript"", "" kubernetes"", "" material ui"", "" react\\\\-router\\\\-dom"", "" redux"", "" rest"", "" storyboo"", "" typescript"", "" vite.js"", "" vitest"", "" websockets"", ""react""]",1
"["" .net"", "" asp.net"", "" azure"", "" c#"", "" c++"", "" cassandra"", "" elasticsearch"", "" graphql"", "" grpc"", "" java"", "" js"", "" no-sql"", "" react"", "" res"", "" sql"", ""redis""]",1
"["" .net"", "" asp"", "" aws"", "" azure"", "" django"", "" docker"", "" google cloud"", "" kubernetes"", "" node.js"", "" nosql"", "" react"", ""sql""]",1
"["" .net"", "" aws"", "" azure"", "" azure devops"", "" azure paas"", "" c#"", "" github actions"", "" javascript"", "" json"", "" python"", "" rest"", "".net core""]",1
"["" .net"", "" aws"", "" azure"", "" bash"", "" c#"", "" java"", "" linux"", "" oracle"", "" plc"", "" powershell"", "" sql server"", "" visual studio"", "" windows command"", "" windows os"", ""azure devops""]",1
"["" .net"", "" aws"", "" azure"", "" c#"", "" cosmosdb"", "" google cloud"", "" linux"", "" sql server"", ""c/c++""]",1
"["" .net"", "" azure devops"", "" c#"", "" cursor"", "" git"", "" github copilot"", "" javascript"", "" microsoft azur"", "" ms sql server"", "" mstest"", "" nunit"", "" react.js"", "" restful apis"", "" typescript"", ""ai""]",1
"["" .net"", "" azure devops"", "" jira"", ""sql""]",1
"["" .net"", "" azure"", "" git"", "" restful apis"", "" sql"", ""c#""]",1
"["" .net"", "" batch"", "" c#"", "" linux"", "" powershell"", "" python"", "" uni"", "" unity"", ""c++""]",1
"["" .net"", "" bubble sort"", "" c#"", "" googl"", "" ms sql server"", "" node"", "" nodejs"", "" react"", "" sql"", "" typescript"", ""angular""]",1
